Time    Ener
63079   4.80
63145   1.73
63220   3.60
63277   4.55
63295   4.24
63471   4.37
63581   4.88
63619   1.37
63644   4.29
63663   3.83
63672   3.39
63713   2.16
63723   1.41
63792   3.21
63829   2.90
63842   1.68
63851   2.28
63870   3.86
63877   3.01
63911   4.08
63949   3.26
64162   2.61
64319   6.57
64326   1.75
64373   4.83
64477   3.65
64508   3.01
64558   2.74
64605   3.33
64621   2.90
64640   4.23
64659   2.27
64762   2.64
64828   3.73
64841   9.94
64894   4.79
64919   3.19
64945   3.81
65076   2.91
65146   4.15
65155   2.65
65230   3.44
65268   3.87
65274   4.11
65334   5.62
65394   1.60
65422   2.66
65447   7.97
65664   3.93
65771   3.21
65805   2.03
65859   3.91
65906   3.04
65997   3.75
66019   5.55
66044   3.25
66050   2.28
66097   5.24
66176   4.75
66188   2.64
66204   1.96
66239   3.84
66374   4.45
66433   2.65
66437   3.18
66716   4.96
66760   3.11
66782   2.98
66807   8.55
66851   3.95
66864   6.49
66889   3.13
66908   3.77
67071   2.55
67112   3.06
67134   5.15
67162   1.81
67178   4.16
67193   3.95
67288   3.80
67341   1.38
67344   3.31
67357   3.42
67407   2.68
67413   4.90
67530   2.43
67624   4.89
67643   1.62
67646   3.75
67655   2.71
67658   2.40
67712   2.80
67734   3.42
67753   5.28
67866   2.31
67885   4.62
68038   4.99
68045   2.04
68070   3.24
68151   3.98
68167   2.32
68312   1.89
68315   2.57
68356   3.85
68368   4.84
68409   2.95
68462   2.31
68497   2.53
68613   2.53
68657   3.89
68673   2.03
68685   4.04
68701   2.49
68733   3.30
68802   2.26
68827   4.91
69000   3.17
69006   2.06
69031   3.35
69044   5.38
69088   5.03
69094   3.57
69106   3.03
69169   3.44
69270   3.12
69273   3.87
69292   1.78
69446   5.40
69449   5.55
69464   2.94
69556   4.40
69574   4.53
69578   3.59
69587   2.20
69725   2.65
69741   3.08
69954   3.86
69983   3.83
69989   2.63
70055   8.35
70127   3.24
70165   4.26
70187   4.20
70196   5.63
70199   3.97
70250   3.31
70297   1.85
70306   3.14
70341   7.01
70344   3.32
70347   6.08
70350   3.10
70504   5.26
70526   1.84
70536   3.50
70611   4.47
70639   1.27
70664   4.62
70831   2.56
70906   5.35
70938   2.06
70988   2.60
71145   4.08
71261   4.76
71305   3.17
71336   2.84
71355   2.58
71497   9.91
71506   4.83
71669   1.63
71679   4.07
71742   4.29
71748   3.95
71764   2.47
71798   4.90
71924   3.38
71987   3.65
72034   4.79
72134   3.65
72159   5.36
72172   2.92
72335   4.61
72357   3.77
72527   3.91
72615   3.22
72621   3.44
72662   8.84
72675   3.31
72678   4.40
72719   2.84
72970   1.55
73029   4.29
73077   3.25
73190   4.65
73234   2.77
73252   4.18
73303   2.67
73331   3.31
73362   5.48
73388   4.27
73403   3.48
73541   3.18
73545   1.96
73673   4.04
73736   5.97
73768   5.25
73972   4.67
74006   4.03
74031   3.18
74035   2.24
74075   3.70
74129   2.28
74132   3.73
74167   3.65
74182   2.40
74210   2.36
74254   3.31
74289   2.83
74305   2.04
74314   3.50
74374   1.93
74471   3.02
74493   4.44
74565   4.38
74773   6.13
74788   6.56
74955   4.11
74983   5.60
75090   3.12
75131   0.62
75184   3.79
75266   3.06
75307   4.24
75322   4.35
75348   3.79
75379   5.17
75410   5.33
75536   6.17
75608   3.35
75652   4.20
75668   3.98
75800   4.45
75809   5.18
75860   3.13
75938   4.51
75941   4.39
76026   1.95
76048   3.10
76067   3.21
76089   3.19
76114   4.53
76218   2.84
76258   1.76
76328   3.57
76346   3.20
76362   6.68
76397   3.59
76686   2.97
76739   2.55
76777   2.74
76799   6.34
76852   7.35
76883   2.03
76896   3.76
76918   2.24
77006   2.84
77091   3.07
77311   5.34
77490   3.36
77515   4.61
77540   2.50
77575   2.97
77772   2.61
77867   1.62
77904   6.19
77936   2.81
77967   3.75
78002   3.82
78061   3.01
78137   4.25
78200   3.95
78266   2.82
78303   2.30
78319   4.96
78325   2.90
78394   4.20
78423   3.35
78457   4.01
78501   6.52
78586   2.31
78624   2.60
78639   2.59
78658   7.70
78756   3.51
78806   3.81
78815   4.77
78856   4.19
78931   2.86
78985   2.70
79035   4.07
79107   4.85
79129   3.85
79183   3.01
79224   3.69
79236   5.95
79396   4.91
79406   2.49
79428   4.35
79475   4.04
79494   4.18
79522   2.39
79698   4.16
79883   6.07
79952   5.19
79974   3.04
80200   3.57
80263   3.36
80282   2.27
80379   5.49
80383   1.64
80430   3.40
80436   3.99
80552   4.69
80750   6.13
80775   2.81
80778   2.70
80942   5.91
80998   2.07
81008   4.90
81212   3.11
81300   3.41
81447   4.77
81479   6.88
81504   3.59
81532   3.58
81545   2.11
81564   2.87
81592   3.18
81595   3.57
81648   4.05
81674   4.15
81746   2.91
81774   6.11
81846   7.61
81846   6.15
81912   4.66
81915   3.55
82041   4.05
82088   1.67
82132   4.04
82201   5.12
82336   4.38
82355   3.07
82390   5.24
82562   3.97
82606   3.11
82641   2.16
82682   2.63
82735   5.49
82773   2.98
82798   2.84
82870   1.59
82990   5.35
83018   6.67
83021   2.84
83027   4.17
83206   2.01
83291   2.31
83316   2.46
83414   5.15
83436   4.32
83530   3.43
83577   3.55
83649   3.31
83656   2.36
83728   2.29
83882   5.68
84010   1.76
84111   2.43
84161   3.85
84167   5.33
84237   5.49
84262   3.43
84365   3.01
84387   4.51
84466   4.26
84582   4.03
84610   1.55
84620   2.62
84802   6.66
84912   7.25
84965   3.26
85050   2.29
85060   3.02
85201   5.70
85330   2.38
85421   1.11
85729   6.20
85785   5.76
85842   3.44
85923   4.49
85964   5.07
86156   4.62
86250   3.92
86263   7.49
86369   2.97
86429   2.61
86432   3.18
86438   5.35
86539   5.76
86611   2.90
86652   1.10
86661   7.36
86693   4.46
86815   3.72
86947   3.17
87079   3.61
87195   2.15
87214   3.31
87356   3.85
87409   5.40
87494   3.52
87591   4.50
87610   3.12
87689   3.17
87742   3.04
87792   3.69
87839   3.85
87855   2.92
87880   2.02
87890   3.25
87946   4.28
87978   2.86
88050   2.29
88144   3.16
88229   3.13
88279   4.17
88376   3.90
88436   5.79
88524   2.98
88584   4.63
88625   5.13
88637   5.10
88675   4.83
88681   2.87
88791   4.79
